 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Boron.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  2.3502E+00 g/cm3 = 1.3091E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      B      5    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 900.00 keV   2.290E-01  1.464E-04   10.66 um     4573 A      3611 A   
   1.00 MeV   2.134E-01  1.336E-04   12.58 um     5393 A      4165 A   
   1.10 MeV   2.009E-01  1.229E-04   14.64 um     6200 A      4751 A   
   1.20 MeV   1.886E-01  1.139E-04   16.82 um     7006 A      5370 A   
   1.30 MeV   1.785E-01  1.062E-04   19.13 um     7819 A      6023 A   
   1.40 MeV   1.698E-01  9.952E-05   21.57 um     8636 A      6706 A   
   1.50 MeV   1.620E-01  9.367E-05   24.13 um     9460 A      7420 A   
   1.60 MeV   1.549E-01  8.850E-05   26.81 um     1.03 um     8162 A   
   1.70 MeV   1.485E-01  8.391E-05   29.61 um     1.11 um     8934 A   
   1.80 MeV   1.427E-01  7.979E-05   32.53 um     1.20 um     9733 A   
   2.00 MeV   1.325E-01  7.271E-05   38.70 um     1.50 um     1.14 um  
   2.25 MeV   1.218E-01  6.552E-05   47.06 um     1.94 um     1.37 um  
   2.50 MeV   1.128E-01  5.969E-05   56.13 um     2.35 um     1.61 um  
   2.75 MeV   1.051E-01  5.486E-05   65.88 um     2.75 um     1.87 um  
   3.00 MeV   9.852E-02  5.078E-05   76.32 um     3.15 um     2.14 um  
   3.25 MeV   9.276E-02  4.729E-05   87.43 um     3.55 um     2.43 um  
   3.50 MeV   8.769E-02  4.428E-05   99.20 um     3.95 um     2.74 um  
   3.75 MeV   8.320E-02  4.164E-05  111.63 um     4.36 um     3.06 um  
   4.00 MeV   7.917E-02  3.931E-05  124.72 um     4.77 um     3.40 um  
   4.50 MeV   7.228E-02  3.539E-05  152.80 um     6.28 um     4.12 um  
   5.00 MeV   6.657E-02  3.221E-05  183.43 um     7.70 um     4.90 um  
   5.50 MeV   6.177E-02  2.958E-05  216.56 um     9.09 um     5.74 um  
   6.00 MeV   5.766E-02  2.736E-05  252.16 um    10.47 um     6.63 um  
   6.50 MeV   5.411E-02  2.546E-05  290.19 um    11.86 um     7.59 um  
   7.00 MeV   5.101E-02  2.382E-05  330.63 um    13.26 um     8.59 um  
   8.00 MeV   4.584E-02  2.113E-05  418.51 um    18.34 um    10.77 um  
   9.00 MeV   4.169E-02  1.901E-05  515.72 um    23.10 um    13.17 um  
  10.00 MeV   3.829E-02  1.728E-05  622.07 um    27.76 um    15.78 um  
  11.00 MeV   3.545E-02  1.586E-05  737.41 um    32.41 um    18.59 um  
  12.00 MeV   3.303E-02  1.466E-05  861.59 um    37.09 um    21.61 um  
  13.00 MeV   3.095E-02  1.364E-05  994.49 um    41.83 um    24.82 um  
  14.00 MeV   2.914E-02  1.275E-05    1.14 mm    46.64 um    28.23 um  
  15.00 MeV   2.755E-02  1.198E-05    1.29 mm    51.53 um    31.84 um  
  16.00 MeV   2.614E-02  1.130E-05    1.44 mm    56.50 um    35.63 um  
  17.00 MeV   2.488E-02  1.070E-05    1.61 mm    61.56 um    39.61 um  
  18.00 MeV   2.375E-02  1.016E-05    1.79 mm    66.70 um    43.77 um  
  20.00 MeV   2.179E-02  9.231E-06    2.16 mm    85.77 um    52.65 um  
  22.50 MeV   1.980E-02  8.294E-06    2.67 mm   113.04 um    64.75 um  
  25.00 MeV   1.817E-02  7.536E-06    3.23 mm   138.93 um    77.93 um  
  27.50 MeV   1.681E-02  6.910E-06    3.84 mm   164.34 um    92.16 um  
  30.00 MeV   1.567E-02  6.383E-06    4.49 mm   189.67 um   107.43 um  
  32.50 MeV   1.468E-02  5.934E-06    5.19 mm   215.11 um   123.69 um  
  35.00 MeV   1.383E-02  5.546E-06    5.94 mm   240.78 um   140.95 um  
  37.50 MeV   1.308E-02  5.208E-06    6.73 mm   266.75 um   159.16 um  
  40.00 MeV   1.242E-02  4.910E-06    7.56 mm   293.05 um   178.32 um  
  45.00 MeV   1.130E-02  4.409E-06    9.36 mm   390.27 um   219.41 um  
  50.00 MeV   1.039E-02  4.003E-06   11.32 mm   481.61 um   264.07 um  
  55.00 MeV   9.629E-03  3.669E-06   13.45 mm   570.65 um   312.18 um  
  60.00 MeV   8.990E-03  3.388E-06   15.73 mm   658.91 um   363.62 um  
  65.00 MeV   8.444E-03  3.148E-06   18.17 mm   747.16 um   418.28 um  
  70.00 MeV   7.970E-03  2.941E-06   20.76 mm   835.84 um   476.07 um  
  80.00 MeV   7.190E-03  2.602E-06   26.38 mm     1.16 mm   600.66 um  
  90.00 MeV   6.573E-03  2.335E-06   32.56 mm     1.46 mm   736.69 um  
 100.00 MeV   6.073E-03  2.119E-06   39.29 mm     1.75 mm   883.53 um  
 110.00 MeV   5.659E-03  1.941E-06   46.54 mm     2.04 mm     1.04 mm  
 120.00 MeV   5.310E-03  1.792E-06   54.30 mm     2.32 mm     1.21 mm  
 130.00 MeV   5.013E-03  1.664E-06   62.54 mm     2.61 mm     1.38 mm  
 140.00 MeV   4.756E-03  1.555E-06   71.24 mm     2.89 mm     1.57 mm  
 150.00 MeV   4.531E-03  1.459E-06   80.40 mm     3.18 mm     1.76 mm  
 160.00 MeV   4.334E-03  1.374E-06   89.99 mm     3.47 mm     1.96 mm  
 170.00 MeV   4.158E-03  1.300E-06  100.01 mm     3.76 mm     2.17 mm  
 180.00 MeV   4.002E-03  1.233E-06  110.43 mm     4.05 mm     2.39 mm  
 200.00 MeV   3.734E-03  1.118E-06  132.43 mm     5.13 mm     2.84 mm  
 225.00 MeV   3.464E-03  1.003E-06  161.98 mm     6.65 mm     3.44 mm  
 250.00 MeV   3.247E-03  9.098E-07  193.68 mm     8.05 mm     4.07 mm  
 275.00 MeV   3.068E-03  8.330E-07  227.36 mm     9.38 mm     4.73 mm  
 300.00 MeV   2.919E-03  7.685E-07  262.88 mm    10.68 mm     5.42 mm  
 325.00 MeV   2.792E-03  7.135E-07  300.11 mm    11.94 mm     6.14 mm  
 350.00 MeV   2.684E-03  6.662E-07  338.94 mm    13.18 mm     6.87 mm  
 375.00 MeV   2.590E-03  6.249E-07  379.26 mm    14.40 mm     7.63 mm  
 400.00 MeV   2.508E-03  5.886E-07  420.96 mm    15.60 mm     8.40 mm  
 450.00 MeV   2.372E-03  5.276E-07  508.15 mm    19.95 mm     9.99 mm  
 500.00 MeV   2.263E-03  4.784E-07  599.93 mm    23.87 mm    11.62 mm  
 550.00 MeV   2.176E-03  4.378E-07  695.75 mm    27.52 mm    13.29 mm  
 600.00 MeV   2.103E-03  4.038E-07  795.15 mm    30.97 mm    14.99 mm  
 650.00 MeV   2.043E-03  3.748E-07  897.72 mm    34.27 mm    16.71 mm  
 700.00 MeV   1.992E-03  3.499E-07    1.00 m     37.45 mm    18.44 mm  
 800.00 MeV   1.911E-03  3.090E-07    1.22 m     48.63 mm    21.92 mm  
 900.00 MeV   1.851E-03  2.768E-07    1.45 m     58.32 mm    25.41 mm  
   1.00 GeV   1.804E-03  2.509E-07    1.68 m     67.08 mm    28.88 mm  
   1.10 GeV   1.768E-03  2.296E-07    1.92 m     75.18 mm    32.32 mm  
   1.20 GeV   1.740E-03  2.117E-07    2.16 m     82.74 mm    35.72 mm  
   1.30 GeV   1.717E-03  1.964E-07    2.41 m     89.88 mm    39.07 mm  
   1.40 GeV   1.699E-03  1.833E-07    2.66 m     96.65 mm    42.37 mm  
   1.50 GeV   1.684E-03  1.719E-07    2.91 m    103.10 mm    45.62 mm  
   1.60 GeV   1.672E-03  1.618E-07    3.16 m    109.26 mm    48.81 mm  
   1.70 GeV   1.662E-03  1.529E-07    3.42 m    115.18 mm    51.94 mm  
   1.80 GeV   1.654E-03  1.449E-07    3.67 m    120.87 mm    55.02 mm  
   2.00 GeV   1.642E-03  1.313E-07    4.19 m    141.39 mm    61.01 mm  
   2.25 GeV   1.633E-03  1.176E-07    4.84 m    168.80 mm    68.20 mm  
   2.50 GeV   1.629E-03  1.066E-07    5.49 m    192.53 mm    75.08 mm  
