 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Iridium.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  2.2421E+01 g/cm3 = 7.0249E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ir     77    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 900.00 keV   6.650E-02  6.586E-05    4.21 um     5694 A      8097 A   
   1.00 MeV   6.382E-02  6.064E-05    4.85 um     6268 A      9076 A   
   1.10 MeV   6.131E-02  5.624E-05    5.52 um     6849 A      1.01 um  
   1.20 MeV   5.881E-02  5.249E-05    6.22 um     7440 A      1.11 um  
   1.30 MeV   5.672E-02  4.925E-05    6.95 um     8042 A      1.22 um  
   1.40 MeV   5.486E-02  4.642E-05    7.70 um     8652 A      1.33 um  
   1.50 MeV   5.315E-02  4.392E-05    8.48 um     9272 A      1.44 um  
   1.60 MeV   5.158E-02  4.170E-05    9.29 um     9899 A      1.55 um  
   1.70 MeV   5.012E-02  3.971E-05   10.12 um     1.05 um     1.67 um  
   1.80 MeV   4.876E-02  3.791E-05   10.98 um     1.12 um     1.79 um  
   2.00 MeV   4.630E-02  3.480E-05   12.76 um     1.26 um     2.03 um  
   2.25 MeV   4.364E-02  3.161E-05   15.13 um     1.45 um     2.35 um  
   2.50 MeV   4.133E-02  2.900E-05   17.64 um     1.64 um     2.69 um  
   2.75 MeV   3.930E-02  2.681E-05   20.29 um     1.83 um     3.03 um  
   3.00 MeV   3.750E-02  2.495E-05   23.07 um     2.03 um     3.39 um  
   3.25 MeV   3.589E-02  2.335E-05   25.98 um     2.23 um     3.76 um  
   3.50 MeV   3.444E-02  2.195E-05   29.03 um     2.44 um     4.15 um  
   3.75 MeV   3.313E-02  2.073E-05   32.20 um     2.65 um     4.54 um  
