 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> November 26, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Molybdenum.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.0206E+01 g/cm3 = 6.4061E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Mo     42    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 900.00 keV   1.032E-01  9.067E-05    5.63 um     4365 A      6822 A   
   1.00 MeV   9.702E-02  8.323E-05    6.58 um     4950 A      7797 A   
   1.10 MeV   9.308E-02  7.700E-05    7.59 um     5544 A      8814 A   
   1.20 MeV   8.930E-02  7.170E-05    8.63 um     6142 A      9864 A   
   1.30 MeV   8.567E-02  6.714E-05    9.72 um     6749 A      1.09 um  
   1.40 MeV   8.239E-02  6.316E-05   10.86 um     7365 A      1.21 um  
   1.50 MeV   7.940E-02  5.966E-05   12.04 um     7990 A      1.32 um  
   1.60 MeV   7.667E-02  5.655E-05   13.27 um     8625 A      1.44 um  
   1.70 MeV   7.416E-02  5.378E-05   14.54 um     9269 A      1.56 um  
   1.80 MeV   7.184E-02  5.128E-05   15.85 um     9924 A      1.69 um  
   2.00 MeV   6.770E-02  4.697E-05   18.60 um     1.16 um     1.94 um  
   2.25 MeV   6.325E-02  4.255E-05   22.27 um     1.38 um     2.28 um  
   2.50 MeV   5.945E-02  3.895E-05   26.18 um     1.61 um     2.64 um  
   2.75 MeV   5.616E-02  3.594E-05   30.34 um     1.83 um     3.01 um  
   3.00 MeV   5.327E-02  3.339E-05   34.73 um     2.06 um     3.40 um  
   3.25 MeV   5.071E-02  3.120E-05   39.35 um     2.29 um     3.81 um  
   3.50 MeV   4.843E-02  2.930E-05   44.21 um     2.53 um     4.23 um  
   3.75 MeV   4.637E-02  2.763E-05   49.28 um     2.77 um     4.67 um  
   4.00 MeV   4.452E-02  2.615E-05   54.58 um     3.01 um     5.12 um  
   4.50 MeV   4.127E-02  2.365E-05   65.81 um     3.69 um     6.08 um  
   5.00 MeV   3.854E-02  2.161E-05   77.89 um     4.35 um     7.09 um  
   5.50 MeV   3.619E-02  1.991E-05   90.80 um     5.02 um     8.16 um  
   6.00 MeV   3.415E-02  1.847E-05  104.52 um     5.69 um     9.28 um  
   6.50 MeV   3.236E-02  1.724E-05  119.02 um     6.38 um    10.47 um  
   7.00 MeV   3.078E-02  1.617E-05  134.31 um     7.08 um    11.70 um  
   8.00 MeV   2.809E-02  1.441E-05  167.14 um     9.11 um    14.33 um  
   9.00 MeV   2.588E-02  1.301E-05  202.96 um    11.10 um    17.16 um  
  10.00 MeV   2.404E-02  1.187E-05  241.69 um    13.10 um    20.19 um  
  11.00 MeV   2.248E-02  1.092E-05  283.26 um    15.11 um    23.42 um  
  12.00 MeV   2.113E-02  1.012E-05  327.61 um    17.17 um    26.83 um  
  13.00 MeV   1.995E-02  9.439E-06  374.70 um    19.27 um    30.43 um  
  14.00 MeV   1.892E-02  8.846E-06  424.48 um    21.42 um    34.21 um  
  15.00 MeV   1.799E-02  8.327E-06  476.90 um    23.62 um    38.16 um  
  16.00 MeV   1.717E-02  7.868E-06  531.93 um    25.87 um    42.29 um  
  17.00 MeV   1.643E-02  7.460E-06  589.53 um    28.18 um    46.59 um  
  18.00 MeV   1.576E-02  7.094E-06  649.66 um    30.53 um    51.07 um  
  20.00 MeV   1.458E-02  6.465E-06  777.37 um    37.58 um    60.51 um  
  22.50 MeV   1.337E-02  5.827E-06  950.71 um    47.48 um    73.22 um  
  25.00 MeV   1.237E-02  5.309E-06    1.14 mm    57.20 um    86.91 um  
  27.50 MeV   1.152E-02  4.879E-06    1.34 mm    66.93 um   101.56 um  
  30.00 MeV   1.080E-02  4.517E-06    1.56 mm    76.77 um   117.13 um  
  32.50 MeV   1.017E-02  4.207E-06    1.79 mm    86.77 um   133.60 um  
  35.00 MeV   9.625E-03  3.939E-06    2.03 mm    96.96 um   150.95 um  
  37.50 MeV   9.142E-03  3.704E-06    2.29 mm   107.36 um   169.16 um  
  40.00 MeV   8.712E-03  3.497E-06    2.56 mm   117.98 um   188.21 um  
  45.00 MeV   7.980E-03  3.149E-06    3.15 mm   151.22 um   228.77 um  
  50.00 MeV   7.378E-03  2.866E-06    3.78 mm   183.47 um   272.50 um  
  55.00 MeV   6.875E-03  2.632E-06    4.46 mm   215.52 um   319.27 um  
  60.00 MeV   6.447E-03  2.435E-06    5.19 mm   247.76 um   368.97 um  
  65.00 MeV   6.078E-03  2.266E-06    5.96 mm   280.37 um   421.50 um  
  70.00 MeV   5.757E-03  2.121E-06    6.78 mm   313.47 um   476.77 um  
  80.00 MeV   5.224E-03  1.881E-06    8.55 mm   419.50 um   595.19 um  
  90.00 MeV   4.800E-03  1.692E-06   10.49 mm   520.63 um   723.56 um  
 100.00 MeV   4.453E-03  1.539E-06   12.59 mm   620.28 um   861.29 um  
 110.00 MeV   4.165E-03  1.412E-06   14.84 mm   719.90 um     1.01 mm  
 120.00 MeV   3.921E-03  1.305E-06   17.25 mm   820.14 um     1.16 mm  
 130.00 MeV   3.713E-03  1.214E-06   19.79 mm   921.35 um     1.33 mm  
 140.00 MeV   3.531E-03  1.136E-06   22.47 mm     1.02 mm     1.50 mm  
 150.00 MeV   3.373E-03  1.067E-06   25.29 mm     1.13 mm     1.67 mm  
 160.00 MeV   3.233E-03  1.006E-06   28.23 mm     1.23 mm     1.86 mm  
 170.00 MeV   3.108E-03  9.527E-07   31.29 mm     1.34 mm     2.05 mm  
 180.00 MeV   2.997E-03  9.046E-07   34.48 mm     1.45 mm     2.24 mm  
 200.00 MeV   2.806E-03  8.222E-07   41.18 mm     1.79 mm     2.65 mm  
 225.00 MeV   2.613E-03  7.388E-07   50.15 mm     2.27 mm     3.20 mm  
